country,db,node,valence,node_date,col,archive,full_repl
Spain,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,0.5179976874104057,0.7476870233228753
Thailand,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,0.05294888130298248,0.05990651823650423
United Arab Emirates,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.603170692491387,-0.7502003599758411
United Kingdom,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,1.4366289018456622,1.358402151915612
Vietnam,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.31014223615891456,-0.4169961424154169
Australia,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.6494740956440339,-0.6704961418747657
Belgium,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.004683570457329256,-0.006586976770236579
Brazil,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.31091387860465053,0.39496279699551073
Canada,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.19702477247135192,0.26595955447798725
France,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.041956981652762945,-0.038720430915094375
Germany,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.34935340411246957,0.32111567945751524
India,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.3141496204458828,0.4243270721212068
Indonesia,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.5547932732209748,0.6891558539030113
Iran,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.3536782649594628,-0.4021335838893933
Italy,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.1578620302811332,0.21521620366679875
Japan,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.771527478749658,0.7044189532494722
Malaysia,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.7049349689539991,-0.5710063678391897
Mexico,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.024426674003668547,-0.03344961222524415
Netherlands,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.7107220122611658,1.2140670949664691
Philippines,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.6998105701482603,-1.0974639876614896
Russia,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.19427128305839558,0.15583081842546978
Saudi Arabia,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.08801031134309731,0.12780382597207787
Singapore,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.6696062674992156,-0.6406156302430204
South Korea,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.11217951352078036,-0.10903540333715436
Spain,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.4707658910563521,-0.6795118131231913
Thailand,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.3178352980598059,0.359599780219568
United Arab Emirates,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,-0.5040788324028539,-0.6269537400148509
United Kingdom,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,0.04169386643003211,0.039423568471631754
Vietnam,GDELT,Pivot to Asia announced,negative,2011-10-01,avg_shock,1.0140287071601464,1.363393984712261
Australia,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.438795586326933,-0.4529984331586588
Belgium,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.8391219851079278,1.1801417473395983
Brazil,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.5129641304903333,0.6516330137660241
Canada,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.305800161059685,0.41279314055066985
France,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,1.0447632710559125,0.9641705019284771
Germany,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.12673521087250317,-0.11649138915335602
India,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.032227871262343964,-0.04353071709601301
Indonesia,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,1.350694554057177,1.6778124459931334
Iran,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.22019566817537525,-0.25036334424008866
Italy,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.07985537499455596,-0.10886829859029727
Japan,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.5637619274843524,-0.5147251365356615
Malaysia,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.7703971114181176,0.6240315429909803
Mexico,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.3456982662860232,-0.4733953117182465
Netherlands,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.44366094223810004,-0.7578689586093292
Philippines,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.5928256122433327,0.9296869583758876
Russia,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.4728200581374533,-0.37926313898585917
Saudi Arabia,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.3993722539380248,-0.5799468410172259
Singapore,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.08344510139957151,-0.07983234150932124
South Korea,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,-0.49198576144425604,-0.47819663547813807
Spain,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.028057893050806363,0.040499259061841944
Thailand,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.4633948910445027,0.5242863268859409
United Arab Emirates,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.5052434406022583,0.6284022346139757
United Kingdom,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.4640456301455783,0.4387776006503518
Vietnam,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01,avg_shock,0.4343181481907736,0.5839546223035585
Australia,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.223958438601497,-0.2312074800669223
Belgium,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.2521470191341451,-0.3546197442427487
Brazil,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.22932005958699755,0.2913118338368798
Canada,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.14049713934822355,-0.18965410348040582
France,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.23114831607676142,0.21331759462256814
Germany,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,1.0488796271036702,0.9641002210418089
India,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.39591053298068435,0.5347628847782744
Indonesia,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.1585549360894675,-0.19695455522899316
Iran,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.24165032583263643,0.27475737471810896
Italy,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.02730903987881413,0.03723091536347757
Japan,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.9645065043548244,0.8806123967237041
Malaysia,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.17894872756939917,0.14495076490596845
Mexico,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.1680722387229682,-0.2301562304498602
Netherlands,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.7013897991136175,-1.1981256541356085
Philippines,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.012538312380459073,0.019662958649922783
Russia,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,1.1030028476654103,0.8847516409600223
Saudi Arabia,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.3752848773823892,0.5449684522982114
Singapore,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.006349322775287385,-0.006074428524239973
South Korea,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,1.0673585016963847,1.0374431220567524
Spain,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.6576106174697464,-0.9492067957668558
Thailand,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.007218020953816897,-0.008166489891014
United Arab Emirates,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.5251079113365018,-0.6531088944054273
United Kingdom,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,0.23779628318708473,0.22484789383248288
Vietnam,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01,avg_shock,-0.1992786404178351,-0.2679364969737538
Australia,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,-0.2813210162660809,-0.29042675804898854
Belgium,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,-0.20390542326791944,-0.2867727300417138
Brazil,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.01553719173717198,0.019737339270634906
Canada,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.3764556788596195,0.5081695229201225
France,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.18250759525908514,0.16842900645699882
Germany,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.3282394584086157,0.3017083431015214
India,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.36857121270521176,0.4978352141039956
Indonesia,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.17860487811931927,0.22186029145046457
Iran,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,-0.038628641517485955,-0.04392091794497361
Italy,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.06433931941560526,0.08771497520000547
Japan,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.3206889456179596,0.29279497829030515
Malaysia,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.21924438137495703,0.17759076140572852
Mexico,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.07006795898890215,0.09595027375569375
Netherlands,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,-0.4938497231933579,-0.8436022642380675
Philippines,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,-0.041841627223414175,-0.06561729848282406
Russia,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.9736209010103181,0.7809705039883624
Saudi Arabia,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.31588234983610347,0.4587073065646042
Singapore,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.2574201724254128,0.2462751530260519
South Korea,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.4314030371075626,0.4193118928366809
Spain,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,-0.10286319376958798,-0.14847455312697683
Thailand,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.5209707174061744,0.5894277842130667
United Arab Emirates,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,-0.5344849763871062,-0.6647717249508304
United Kingdom,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,0.010117917013536608,0.009566980189827776
Vietnam,GDELT,US bans ZTE from tech exports,negative,2018-04-01,avg_shock,-0.2514574438282087,-0.3380925647427028
Australia,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,0.1288438747004818,0.13301426718983003
Belgium,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.41022166531128085,-0.5769360372970652
Brazil,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.039098529922367994,-0.049667981390394474
Canada,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.6170812813641079,-0.8329849115403342
France,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.5942167442447732,-0.5483790179317353
Germany,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.7803556798370997,-0.7172806716626391
India,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.1114895907513089,-0.15059082849868993
Indonesia,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,0.09995680029037604,0.12416483288918594
Iran,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.865199230101459,-0.9837349411870739
Italy,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.07980431340000683,-0.1087986853811393
Japan,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.5036310001665927,-0.4598244803105054
Malaysia,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,0.7451009682853647,0.6035413425516315
Mexico,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.2125629643539446,-0.29108132896111844
Netherlands,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,0.0460997020319571,0.078748273388487125
Philippines,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,0.48987278744786744,0.7682332415263282
Russia,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-1.2859137577322468,-1.0314699637401055
Saudi Arabia,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.1238764634335817,-0.17988671705731482
Singapore,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.21512102414241496,-0.20580734850973995
South Korea,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-1.2030898991999466,-1.1693703091859338
Spain,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,1.0202258558080672,1.4726120440028112
Thailand,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.4775075320031968,-0.5402534098941633
United Arab Emirates,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,0.6548134329569448,0.8144316015956479
United Kingdom,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,-0.914178365156631,-0.8643998856406645
Vietnam,GDELT,Trade War Begins,negative,2018-07-01,avg_shock,0.48751210975748815,0.6554756026377178
Australia,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.22950339143393036,-0.23693191081167342
Belgium,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.014814144173208258,-0.02083462273683856
Brazil,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.3756211626679033,-0.47716231158232264
Canada,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-2.066769949819805,-2.789888845792181
France,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.06792354510450864,-0.0626839403628602
Germany,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.29035751691105427,-0.2668883435252668
India,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.06166678976952943,-0.08329434972061682
Indonesia,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.658201799314608,-0.8176083686337096
Iran,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.5969487698410388,-0.6787331085840275
Italy,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,0.48179152794405267,0.6568352340223119
Japan,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.6412693283682069,-0.5854908366610456
Malaysia,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,0.1131769030088898,0.09167474328346382
Mexico,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,0.20236858862884163,0.277121265678171
Netherlands,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.13670042879699354,-0.23351393316526506
Philippines,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.7004158518756745,-1.0984132086743787
Russia,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,0.0701853692315096,0.056297788106708255
Saudi Arabia,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,0.17625695242953124,0.2559508372474286
Singapore,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.28963799687522646,-0.27709810513499494
South Korea,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.31558524661539133,-0.30674018429925126
Spain,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.5072081267326389,-0.7321131806162585
Thailand,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,0.014140500433021114,0.015998603298467758
United Arab Emirates,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,0.3516086527768912,0.43731723236471914
United Kingdom,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.7791717679396094,-0.7367446143685927
Vietnam,GDELT,Huawei CFO Meng Wanzhou arrested,negative,2018-12-01,avg_shock,-0.28582442194639,-0.3843000644990843
Australia,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,-0.23267942146921383,-0.24021074194507563
Belgium,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,-0.44720234350698285,-0.6289456890023126
Brazil,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.2902316817646393,0.3686896105150524
Canada,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.05562789440787928,0.07509091282122542
France,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.5788623456910608,0.534209053720244
Germany,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,1.0339859508160796,0.9504103788235537
India,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.5923989641656902,0.8001630485349115
Indonesia,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.1990376002632427,0.24724151136848255
Iran,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.09089787532824772,0.10335124319236612
Italy,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,-0.8655558678717296,-1.1800282031919254
Japan,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.4707927668245416,0.4298425618507025
Malaysia,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,-0.9365889748578875,-0.758649084305436
Mexico,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.031182295806170515,0.04270068462258129
Netherlands,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,-0.06937490118042616,-0.11850735348936373
Philippines,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.14978042861377405,0.2348901738156007
Russia,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,1.2396444956822004,0.9943560019661775
Saudi Arabia,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,-0.2152915736707635,-0.3126348082943247
Singapore,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.37178650407350794,0.35568998855462264
South Korea,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,-0.36529415698492146,-0.35505587868482336
Spain,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.2230633082536477,0.32197352423425585
Thailand,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.51470095973664,0.582334162158633
United Arab Emirates,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.07463259388831747,0.0928251314228868
United Kingdom,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.13850942111373507,0.13096736078451568
Vietnam,GDELT,US hikes tariffs on $200B goods,negative,2019-05-01,avg_shock,0.05349398807477564,0.07192437555705226
Australia,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.5772990724432048,-0.5959849721138072
Belgium,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,0.002741542485050969,0.003855707270376937
Brazil,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.8531058879250851,-1.083724821614285
Canada,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,0.419790479425409,0.566666249536293
France,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.8644467787501383,-0.7977635773083864
Germany,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.07876795567718306,-0.07240125703373738
India,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-1.042003264537269,-1.4074509902456047
Indonesia,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.6862621958933537,-0.8524645709319304
Iran,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.7410835794029654,-0.8426149562259684
Italy,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.2512077759281835,-0.3424761722027904
Japan,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.5743656811856087,-0.5244065610973107
Malaysia,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,0.5632032390020102,0.4562018484272278
Mexico,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.9300229247324148,-1.2735629168430609
Netherlands,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.08452651498580502,-0.14438959076273333
Philippines,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.08815138479988122,-0.13824165339466685
Russia,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-1.0338672011846257,-0.8292958669317206
Saudi Arabia,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,0.45691791228397716,0.6635115414762883
Singapore,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-1.0627429214992998,-1.0167314129021054
South Korea,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.9113341859201354,-0.8857917762170727
Spain,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,0.45121455680196165,0.6512910714752199
Thailand,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.48555947712341413,-0.5493634040113848
United Arab Emirates,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.31614914975287345,-0.3932140750589413
United Kingdom,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,0.25027088075315695,0.23664322953557484
Vietnam,GDELT,US-China Phase One deal signed,positive,2020-01-01,avg_shock,-0.27882664796263146,-0.3748913338699959
Australia,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-1.1505968488304288,-1.1878391350297917
Belgium,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.314646552649626,-0.44251913193592507
Brazil,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.5993453700386521,-0.7613655742199302
Canada,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.1490048366844638,-0.201138463364689
France,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.46984397906858527,-0.43360033576676826
Germany,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,0.24075874087712099,0.22129856400999373
India,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-1.3810851025330377,-1.8654544197006715
Indonesia,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,0.529546775831817,0.6577950348266137
Iran,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.003098047701091622,-0.003522492469937379
Italy,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,0.6147084572687846,0.8380433236520562
Japan,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.6383005569296292,-0.5827802930617574
Malaysia,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,0.28945190053273134,0.23445975255361567
Mexico,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-1.0138517128504998,-1.3883571149987726
Netherlands,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,0.08080197001537519,0.13802726144928557
Philippines,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.29669093587933115,-0.4652796506405548
Russia,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,0.14454950757208837,0.11594749215295135
Saudi Arabia,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,1.4950875543410804,2.171085486371403
Singapore,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.10666017850046383,-0.10204232067165911
South Korea,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.40149649608651766,-0.39024355709242997
Spain,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,1.013572268627797,1.4630081385913682
Thailand,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.6897670034999412,-0.7804043930155802
United Arab Emirates,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.003429566476295736,-0.004265562032616473
United Kingdom,GDELT,COVID-19 Blame,negative,2020-03-01,avg_shock,-0.4907676759409292,-0.46404458815516825
