dimension,group,trade,category,estimate,se,pvalue,n,n_country,note,qvalue_bh,sig,trade_label
region,Other,Trade_Total,经贸互利合作,-0.198370394713375,0.0404402029161865,9.3295611938413e-07,380,2,region=Other,8.47444856222616e-06,***,总贸易
trade_dep,high,Trade_Total,经贸互利合作,-0.0616144416486211,0.0329223065984852,0.0612743593812492,2106,8,trade_dep=high,0.163398291683331,*,总贸易
trade_dep,low,Trade_Total,经贸互利合作,0.0145435155406175,0.0437617700672537,0.739637216718972,2354,9,trade_dep=low,0.739637216718972,"",总贸易
trade_dep,medium,Trade_Total,经贸互利合作,0.00680910746509315,0.0200352197940904,0.733964303940472,2225,8,trade_dep=medium,0.739637216718972,"",总贸易
full_sample,all,Trade_Exports,人文交流合作,0.148558143426496,0.0664621736076225,0.0254023525203596,6685,25,全样本,0.0381035287805394,**,出口
developed,发展中,Trade_Exports,人文交流合作,0.00773845832518575,0.0495959801413458,0.876009413272303,2967,12,developed=0,0.876009413272303,"",出口
developed,发达,Trade_Exports,人文交流合作,0.141879663050073,0.0644082966861365,0.0276076799427667,3718,13,developed=1,0.0690191998569168,**,出口
developed,发展中 vs 发达,Trade_Exports,人文交流合作,,,0.338331352094554,6685,25,H0: 两组系数相等,,"",出口
FTA,无 FTA,Trade_Exports,人文交流合作,0.125314573716654,0.0828556515792607,0.130420824014062,5199,24,FTA=0,0.260841648028124,"",出口
FTA,有 FTA,Trade_Exports,人文交流合作,0.12081699153188,0.0585261728347584,0.0389869934869051,1486,9,FTA=1,0.217746607072083,**,出口
FTA,无 FTA vs 有 FTA,Trade_Exports,人文交流合作,,,0.0633162381247203,6685,25,H0: 两组系数相等,,*,出口
region,Americas,Trade_Exports,人文交流合作,-0.302446319888088,0.0765575174967042,7.79632137152173e-05,1144,4,region=Americas,0.000389816068576087,***,出口
region,Asia_MiddleEast,Trade_Exports,人文交流合作,0.0643346284890799,0.0627561406875541,0.305291131822246,2874,11,region=Asia_MiddleEast,0.422754098743697,"",出口
region,Europe,Trade_Exports,人文交流合作,0.0590815614532738,0.0311872690438466,0.0581702396932204,2287,8,region=Europe,0.116340479386441,*,出口
trade_dep,high,Trade_Exports,人文交流合作,0.340389653931391,0.0756800876609957,6.86783481734252e-06,2106,8,trade_dep=high,5.49426785387401e-05,***,出口
trade_dep,low,Trade_Exports,人文交流合作,0.00852050127852884,0.0834430535778235,0.918668116802164,2354,9,trade_dep=low,0.918668116802164,"",出口
trade_dep,medium,Trade_Exports,人文交流合作,0.0936053297125678,0.0666466098100629,0.16016926945653,2225,8,trade_dep=medium,0.320338538913061,"",出口
full_sample,all,Trade_Exports,战略定位负面,0.0191729154243388,0.0506909427384732,0.705258566634411,6685,25,全样本,0.705258566634411,"",出口
developed,发达,Trade_Exports,战略定位负面,0.0146322026600565,0.0247215023470283,0.553929867856665,3718,13,developed=1,0.692412334820832,"",出口
FTA,无 FTA,Trade_Exports,战略定位负面,-0.0136238090265749,0.0329942676709411,0.679669312902623,5199,24,FTA=0,0.679669312902623,"",出口
FTA,有 FTA,Trade_Exports,战略定位负面,-0.0373894486343012,0.0320753859181648,0.243746210174112,1486,9,FTA=1,0.365619315261168,"",出口
FTA,无 FTA vs 有 FTA,Trade_Exports,战略定位负面,,,0.361163815284946,6685,25,H0: 两组系数相等,,"",出口
region,Americas,Trade_Exports,战略定位负面,0.0817548860508112,0.0853639574140876,0.338203278994957,1144,4,region=Americas,0.422754098743697,"",出口
region,Asia_MiddleEast,Trade_Exports,战略定位负面,-0.0237307126227403,0.0361647669783874,0.511706255196086,2874,11,region=Asia_MiddleEast,0.568562505773429,"",出口
region,Europe,Trade_Exports,战略定位负面,-0.138372515661653,0.0560041491985203,0.0134828262389885,2287,8,region=Europe,0.0449427541299618,**,出口
trade_dep,high,Trade_Exports,战略定位负面,0.0502752707549336,0.0397925083974322,0.206432685723331,2106,8,trade_dep=high,0.33029229715733,"",出口
trade_dep,medium,Trade_Exports,战略定位负面,-0.25253287173106,0.0685550070947375,0.000229914989537839,2225,8,trade_dep=medium,0.000919659958151356,***,出口
full_sample,all,Trade_Exports,经贸互利合作,-0.0564049693192687,0.0238985248106505,0.018265762617965,6685,25,全样本,0.0381035287805394,**,出口
developed,发展中,Trade_Exports,经贸互利合作,-0.026530729669382,0.0221898298927079,0.231842679343269,2967,12,developed=0,0.386404465572114,"",出口
developed,发达,Trade_Exports,经贸互利合作,-0.0676177761293154,0.0265833625177043,0.010971268607961,3718,13,developed=1,0.0548563430398048,**,出口
developed,发展中 vs 发达,Trade_Exports,经贸互利合作,,,0.315431765918018,6685,25,H0: 两组系数相等,,"",出口
FTA,无 FTA,Trade_Exports,经贸互利合作,-0.0618550990623206,0.0344510489696127,0.072582202357361,5199,24,FTA=0,0.217746607072083,*,出口
FTA,有 FTA,Trade_Exports,经贸互利合作,-0.0113217227161979,0.0241265260838036,0.638880571499128,1486,9,FTA=1,0.679669312902623,"",出口
FTA,无 FTA vs 有 FTA,Trade_Exports,经贸互利合作,,,0.0744115838527527,6685,25,H0: 两组系数相等,,*,出口
region,Americas,Trade_Exports,经贸互利合作,-0.121994659153207,0.0170333821449519,7.94547545606775e-13,1144,4,region=Americas,7.94547545606775e-12,***,出口
region,Asia_MiddleEast,Trade_Exports,经贸互利合作,-0.030467929367061,0.0249737854369833,0.222466223829335,2874,11,region=Asia_MiddleEast,0.370777039715559,"",出口
region,Europe,Trade_Exports,经贸互利合作,0.00712809654648551,0.0257920914033464,0.782265794621138,2287,8,region=Europe,0.782265794621138,"",出口
region,Other,Trade_Exports,经贸互利合作,-0.0762509550486418,0.0352387140258983,0.0304765960130659,380,2,region=Other,0.0761914900326646,**,出口
trade_dep,high,Trade_Exports,经贸互利合作,-0.0306143094246435,0.0178953767184316,0.0871294022676828,2106,8,trade_dep=high,0.232345072713821,*,出口
trade_dep,low,Trade_Exports,经贸互利合作,-0.0138227709260195,0.0243908179569939,0.570904247365263,2354,9,trade_dep=low,0.733408210526789,"",出口
trade_dep,medium,Trade_Exports,经贸互利合作,-0.0149493448197435,0.032129900196088,0.64173218421094,2225,8,trade_dep=medium,0.733408210526789,"",出口
full_sample,all,Trade_Imports,人文交流合作,-0.10396969714945,0.0637993828556417,0.103178696137062,6685,25,全样本,0.154768044205592,"",进口
developed,发展中,Trade_Imports,人文交流合作,-0.241234478232789,0.0936542726185972,0.0100009083669374,2967,12,developed=0,0.0308739363495013,**,进口
developed,发达,Trade_Imports,人文交流合作,-0.082336191957327,0.133342785838147,0.536919709213706,3718,13,developed=1,0.536919709213706,"",进口
developed,发展中 vs 发达,Trade_Imports,人文交流合作,,,0.776718767795034,6685,25,H0: 两组系数相等,,"",进口
FTA,无 FTA,Trade_Imports,人文交流合作,-0.115871592376384,0.0700457444496113,0.0980813099351653,5199,24,FTA=0,0.196162619870331,*,进口
FTA,有 FTA,Trade_Imports,人文交流合作,-0.00236148078994572,0.103564296068498,0.981808153279296,1486,9,FTA=1,0.981808153279296,"",进口
FTA,无 FTA vs 有 FTA,Trade_Imports,人文交流合作,,,0.663365975818991,6685,25,H0: 两组系数相等,,"",进口
region,Americas,Trade_Imports,人文交流合作,-0.00493617794808965,0.0991419512266328,0.960290537858073,1144,4,region=Americas,0.960290537858073,"",进口
region,Asia_MiddleEast,Trade_Imports,人文交流合作,-0.153937278707684,0.118247243521858,0.192976039437068,2874,11,region=Asia_MiddleEast,0.321626732395113,"",进口
region,Europe,Trade_Imports,人文交流合作,0.0188224140922702,0.0814695976703681,0.817286795201098,2287,8,region=Europe,0.908096439112331,"",进口
trade_dep,high,Trade_Imports,人文交流合作,0.22155819271744,0.0844801487645474,0.00872599742416469,2106,8,trade_dep=high,0.0232693264644392,***,进口
trade_dep,low,Trade_Imports,人文交流合作,-0.263384102081241,0.0925979522658489,0.00444974329230758,2354,9,trade_dep=low,0.0177989731692303,***,进口
trade_dep,medium,Trade_Imports,人文交流合作,-0.221826480401168,0.0504868330107921,1.11412359884764e-05,2225,8,trade_dep=medium,8.91298879078114e-05,***,进口
full_sample,all,Trade_Imports,战略定位负面,-0.228345195222954,0.067321343391247,0.000694175548395749,6685,25,全样本,0.00208252664518725,***,进口
developed,发达,Trade_Imports,战略定位负面,-0.163193765890168,0.0652254621537996,0.0123495745398005,3718,13,developed=1,0.0308739363495013,**,进口
FTA,无 FTA,Trade_Imports,战略定位负面,-0.210252697601711,0.0516077550227569,4.62020813351334e-05,5199,24,FTA=0,0.000277212488010801,***,进口
FTA,有 FTA,Trade_Imports,战略定位负面,-0.180359858617069,0.0581190652776881,0.00191387072469157,1486,9,FTA=1,0.0057416121740747,***,进口
FTA,无 FTA vs 有 FTA,Trade_Imports,战略定位负面,,,0.0153317997722942,6685,25,H0: 两组系数相等,,**,进口
region,Americas,Trade_Imports,战略定位负面,-0.37728236782178,0.1234067292277,0.00223395130475933,1144,4,region=Americas,0.00744650434919777,***,进口
region,Asia_MiddleEast,Trade_Imports,战略定位负面,-0.305125763883671,0.0685251067282131,8.47740135873389e-06,2874,11,region=Asia_MiddleEast,4.23870067936694e-05,***,进口
region,Europe,Trade_Imports,战略定位负面,-0.253372084882482,0.105265968932781,0.0160854678850135,2287,8,region=Europe,0.032170935770027,**,进口
trade_dep,high,Trade_Imports,战略定位负面,-0.207571446637236,0.0916304288980973,0.0234935826775611,2106,8,trade_dep=high,0.0469871653551222,**,进口
trade_dep,medium,Trade_Imports,战略定位负面,-0.168327173972368,0.116275226935509,0.1477117313294,2225,8,trade_dep=medium,0.182108252034459,"",进口
full_sample,all,Trade_Imports,经贸互利合作,-0.044976153307399,0.0397349154734069,0.257674336071741,6685,25,全样本,0.257674336071741,"",进口
developed,发展中,Trade_Imports,经贸互利合作,-0.0560694535106902,0.0651860259497271,0.389708955683287,2967,12,developed=0,0.487136194604109,"",进口
developed,发达,Trade_Imports,经贸互利合作,-0.042749179512138,0.0445643519546953,0.337423494680602,3718,13,developed=1,0.487136194604109,"",进口
developed,发展中 vs 发达,Trade_Imports,经贸互利合作,,,0.568834591218214,6685,25,H0: 两组系数相等,,"",进口
FTA,无 FTA,Trade_Imports,经贸互利合作,-0.0497823719498306,0.0498328168417555,0.317800641308121,5199,24,FTA=0,0.476700961962182,"",进口
FTA,有 FTA,Trade_Imports,经贸互利合作,-0.0245360197919038,0.0372975366060371,0.510637359180313,1486,9,FTA=1,0.612764831016376,"",进口
FTA,无 FTA vs 有 FTA,Trade_Imports,经贸互利合作,,,0.248602563570521,6685,25,H0: 两组系数相等,,"",进口
region,Americas,Trade_Imports,经贸互利合作,-0.11600285869104,0.0469733263142548,0.0135284071819399,1144,4,region=Americas,0.032170935770027,**,进口
region,Asia_MiddleEast,Trade_Imports,经贸互利合作,-0.0148392170132196,0.0620526907344138,0.810997818749517,2874,11,region=Asia_MiddleEast,0.908096439112331,"",进口
region,Europe,Trade_Imports,经贸互利合作,0.0160890361280534,0.0168130357368551,0.338598449531316,2287,8,region=Europe,0.483712070759023,"",进口
region,Other,Trade_Imports,经贸互利合作,-0.429309042658512,0.0530584622442681,5.90576947639756e-16,380,2,region=Other,5.90576947639756e-15,***,进口
trade_dep,high,Trade_Imports,经贸互利合作,-0.0749553282258463,0.0479377862570933,0.117912487664563,2106,8,trade_dep=high,0.182108252034459,"",进口
trade_dep,low,Trade_Imports,经贸互利合作,0.0535793210331352,0.072457961362459,0.459631432119593,2354,9,trade_dep=low,0.459631432119593,"",进口
trade_dep,medium,Trade_Imports,经贸互利合作,0.0625360802074268,0.0444375899878553,0.159344720530151,2225,8,trade_dep=medium,0.182108252034459,"",进口
