行号,国家,日期,事件名称,URL,可访问,HTTP状态码,备注,来源分类,域名,权威性
33,Australia,2024-03,China lifts wine tariffs,https://apnews.com/article/australia-wine-china-tariffs-penalties-ac155e732d4b882dce4f1663a01ae4c4,是,200,可访问,美联社(权威国际媒体),apnews.com,权威国际媒体
34,Australia,2024-06,Official visit to Australia,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
35,Australia,2024-11,Xi-Albanese bilateral meeting on sidelines of G20 summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
36,Australia,2025-07,Albanese official visit to China,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
37,Belgium,2002-03,Prime Minister Verhofstadt visits China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
38,Belgium,2004-11,Crown Prince Philippe visits China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
39,Belgium,2005-06,Belgium-Luxembourg Economic Union and China sign BIT,https://edit.wti.org/document/show/b93138f7-3b8b-4859-a9ca-aee064e40516,否,0,WTI文档需登录访问,其他来源,edit.wti.org,待确认
40,Belgium,2007-06,Crown Prince Philippe visits China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
41,Belgium,2008-05,Belgium provides emergency aid after Wenchuan earthquake,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
42,Belgium,2008-08,PM Leterme attends Beijing Olympics closing ceremony,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
43,Belgium,2008-10,PM Leterme attends 7th ASEM Summit,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
44,Belgium,2010-05,PM Leterme visits Shanghai World Expo,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
45,Belgium,2010-06,Crown Prince Philippe visits China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
46,Belgium,2011-10,Crown Prince Philippe visits China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
47,Belgium,2013-09,PM Di Rupo attends Summer Davos in Dalian,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
48,Belgium,2014-03,President Xi Jinping pays state visit to Belgium,https://christchurch.china-consulate.gov.cn/eng/zgxw/201404/t20140401_84170.htm,是,200,可访问,中国驻外使领馆,christchurch.china-consulate.gov.cn,官方/政府
49,Belgium,2014-03,China and Belgium establish all-round friendly cooperative partnership,,N/A,0,无来源URL,无来源,,无
50,Belgium,2014-03,China-Belgium industrial investment fund agreement signed,,N/A,0,无来源URL,无来源,,无
51,Belgium,2015-06,King Philippe pays state visit to China,https://www.mfa.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/3278_664444/202406/t20240611_11419838.html,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
52,Belgium,2016-10,PM Michel visits China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
53,Belgium,2017-06,Premier Li Keqiang visits Belgium,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
54,Belgium,2018-10,Premier Li Keqiang pays working visit to Belgium,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
55,Belgium,2019-11,Princess Astrid leads economic mission to China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
56,Belgium,2020-04,Xi Jinping and King Philippe exchange messages on COVID-19 cooperation,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
57,Belgium,2021-10,50th anniversary of China-Belgium diplomatic ties,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3150_664460/3152_664464/202110/t20211026_10069917.html,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
58,Belgium,2021-12,Li Keqiang holds video meeting with PM De Croo,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
59,Belgium,2023-02,PM De Croo meets Wang Yi at Munich Security Conference,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
60,Belgium,2024-01,PM De Croo pays official visit to China,https://us.china-embassy.gov.cn/eng/zgyw/202401/t20240128_11234623.htm,是,200,可访问,中国驻外使领馆,us.china-embassy.gov.cn,官方/政府
61,Belgium,2024-06,Vice Premier Ding Xuexiang meets PM De Croo in Brussels,https://diplomacybeyond.com/china-belgium-high-level-meeting-to-strengthen-diplomatic-ties/,是,200,可访问,其他来源,diplomacybeyond.com,待确认
62,Belgium,2025-07,Wang Yi meets Belgian PM De Wever and FM Prevot,https://be.china-embassy.gov.cn/eng/rv/202507/t20250725_11676734.htm,是,200,可访问,中国驻外使领馆,be.china-embassy.gov.cn,官方/政府
63,Brazil,2004-05,COSBAN established,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/nmz_680924/1206_680974/sbgx_680978/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
64,Brazil,2004-05,Brazil recognizes China's market economy status,http://www.chinadaily.com.cn/english/doc/2004-05/25/content_333496.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
65,Brazil,2004-05,State visit to China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3473_665008/3474_665010/202406/t20240612_11428255.html,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
66,Brazil,2004-11,State visit to Brazil,https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3473_665008/3475_665012/202406/t20240612_11428312.html,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
67,Brazil,2009-04,China becomes Brazil's largest trading partner,https://www.chinadaily.com.cn/china/2009-05/19/content_7793015.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
68,Brazil,2009-05,State visit to China,https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3473_665008/3474_665010/202406/t20240612_11428255.html,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
69,Brazil,2009-05,China-Brazil Joint Action Plan 2010-2014 signed,https://lk.china-embassy.gov.cn/eng/zgxw/201004/t20100422_1403174.htm,是,200,可访问,中国驻外使领馆,lk.china-embassy.gov.cn,官方/政府
70,Brazil,2010-04,State visit to Brazil,https://www.mfa.gov.cn/ziliao_674904/1179_674909/201004/t20100416_7947264.shtml,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
71,Brazil,2012-06,Official visit to Brazil,https://www.chinadaily.com.cn/china/2012wenvisitla/2012-06/22/content_15518325.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
72,Brazil,2012-06,Comprehensive strategic partnership established,https://www.chinadaily.com.cn/china/2012wenvisitla/2012-06/22/content_15518325.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
73,Brazil,2014-07,BRICS New Development Bank and Contingent Reserve Arrangement established,,N/A,0,无来源URL,无来源,,无
74,Brazil,2014-07,State visit to Brazil,https://www.mfa.gov.cn/eng/wjb/wjbz/jh/202405/t20240527_11312093.html,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
75,Brazil,2015-05,Official visit to Brazil,https://www.fmprc.gov.cn/mfa_eng/zy/jj/2015zt/lkqdbxglbyblzljxzsfw/202406/t20240606_11381365.html,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
76,Brazil,2017-09,Visa facilitation agreement enters into force,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/nmz_680924/1206_680974/sbgx_680978/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
77,Brazil,2019-07,Brazil says no restrictions on Huawei 5G,https://www.reuters.com/article/technology/brazil-will-not-bar-huawei-from-5g-network-vice-president-idUSKCN1T82BJ/,否,0,连接超时,路透社(权威),reuters.com,权威国际媒体
78,Brazil,2019-10,State visit to China,https://www.mfa.gov.cn/web/ziliao_674904/1179_674909/201910/t20191026_10674435.shtml,是,200,重定向至: https://www.mfa.gov.cn/web/system/index_17321.shtml,中国外交部,mfa.gov.cn,官方/政府
79,Brazil,2023-03,China-Brazil local currency trade settlement agreement,http://english.scio.gov.cn/internationalexchanges/2023-03/31/content_85203377.htm,是,200,可访问,国务院新闻办,english.scio.gov.cn,官方/政府
80,Brazil,2023-04,State visit to China,https://www.mfa.gov.cn/web/ziliao_674904/1179_674909/202304/t20230414_11059627.shtml,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
81,Brazil,2024-03,Brazil launches anti-dumping investigations on Chinese products,https://www.ft.com/content/8703874e-44cb-4197-8dca-c7b555da8aef,否,0,连接超时,金融时报(权威),ft.com,权威国际媒体
82,Brazil,2024-11,State visit to Brazil,https://www.mfa.gov.cn/web/ziliao_674904/1179_674909/202412/t20241218_11497520.shtml,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
83,Canada,2003-12,Official visit to Canada,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
84,Canada,2005-01,Canadian Prime Minister Paul Martin visits China,http://en.people.cn/200501/21/eng20050121_171546.html,否,404,HTTP 404 页面不存在,人民日报/人民网,en.people.cn,官方媒体
85,Canada,2005-01,Canada-China energy cooperation and joint statement,https://ca.china-embassy.gov.cn/eng/zjwl/200501/t20050121_4664226.htm,是,200,可访问,中国驻外使领馆,ca.china-embassy.gov.cn,官方/政府
86,Canada,2005-09,State visit to Canada,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
87,Canada,2005-09,Canada-China strategic partnership announced,https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/3376_665447/3382_664830/3384_664834/202406/t20240612_11425203.html,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
88,Canada,2009-05,China bans Canadian pork imports over H1N1; Canada protests,https://www.uscc.gov/sites/default/files/Research/September%202018%20Trade%20Bulletin.pdf,是,200,可访问,美中经济安全审查委员会,uscc.gov,学术
89,Canada,2009-12,Official visit to China,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
90,Canada,2010-06,State visit to Canada and attendance at G20 Summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
91,Canada,2012-02,Canadian Prime Minister Stephen Harper's second visit to China,http://www.xinhuanet.com//english/2012-02/07/c_131397330.htm,否,404,HTTP 404 页面不存在,新华社,xinhuanet.com,官方媒体
92,Canada,2012-09,Canada-China FIPA signed,https://www.international.gc.ca/en/global-affairs/corporate/reports/impact-assessments/2012-12-china-environmental,否,404,HTTP 404 页面不存在,加拿大全球事务部,international.gc.ca,官方/政府
93,Canada,2014-11,Bilateral meeting between President Xi Jinping and Prime Minister Stephen Harper on the sidelines of the G20 Brisbane Summit,http://www.xinhuanet.com/english/2014-11/16/c_133789934.htm,否,404,HTTP 404 页面不存在,新华社,xinhuanet.com,官方媒体
94,Canada,2015-11,Bilateral meeting on sidelines of G20 Summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
95,Canada,2016-09,Chinese Premier Li Keqiang's official visit to Canada,https://www.chinadaily.com.cn/world/livisitcanadacuba/2016-09/22/content_26859455.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
96,Canada,2016-09,Prime Minister Justin Trudeau attends G20 Summit in Hangzhou and visits China,http://www.xinhuanet.com/english/2016-09/04/c_135716906.htm,否,404,HTTP 404 页面不存在,新华社,xinhuanet.com,官方媒体
97,Canada,2016-09,Official visit to China and attendance at G20 Hangzhou Summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
98,Canada,2017-07,Bilateral meeting between President Xi Jinping and Prime Minister Justin Trudeau on the sidelines of the G20 Hamburg Summit,http://www.xinhuanet.com/english/2017-07/08/c_136426351.htm,否,404,HTTP 404 页面不存在,新华社,xinhuanet.com,官方媒体
99,Canada,2018-12,China detains Canadians Kovrig and Spavor ('Two Michaels'),https://international.canada.ca/en/global-affairs/corporate/transparency/briefing-documents/parliamentary-committee/2021-12-07-cw-pl-lp-cp,是,200,可访问,其他来源,international.canada.ca,待确认
100,Canada,2018-12,Meng Wanzhou arrested,https://www.international.gc.ca/gac-amc/publications/transparency-transparence/briefing-documents-information/parl_appearances-comparutions_parl-cacn-2020-01-30.aspx?lang=eng,否,0,连接超时,其他来源,international.gc.ca,官方/政府
101,Canada,2019-03,China suspends canola seed licences of Richardson and Viterra,https://www.chinadaily.com.cn/a/202205/20/WS6286fe6da310fd2b29e5dfac.html,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
102,Canada,2019-06,Bilateral meeting on sidelines of G20 Summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
103,Canada,2021-09,Meng Released / Michaels Freed,https://www.theguardian.com/world/2021/sep/25/canadian-pm-trudeau-says-detained-citizens-michael-kovrig-and-michael-spavor-have-left-china,否,0,连接超时,卫报(权威),theguardian.com,权威国际媒体
104,Canada,2022-05,Canada bans Huawei and ZTE from 5G networks,https://apnews.com/article/canada-china-relations-history-trudeau-carney-cb8ef612b27f9905e7bb5f0efaee7204,是,200,可访问,美联社(权威国际媒体),apnews.com,权威国际媒体
105,Canada,2022-11,Bilateral meeting on sidelines of G20 Summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
106,Canada,2024-10,Canada imposes 100% surtax on Chinese-made EVs,https://gazette.gc.ca/rp-pr/p2/2024/2024-10-09/html/sor-dors187-eng.html,是,200,可访问,加拿大政府公报,gazette.gc.ca,官方/政府
107,Canada,2025-06,Li Qiang phone call with PM Mark Carney,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
108,Canada,2025-10,Xi meets Canadian PM Mark Carney at APEC Gyeongju,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
109,France,2004-01,China-France comprehensive strategic partnership established,http://english.scio.gov.cn/featured/chinakeywords/2020-01/22/content_75639603.htm,是,200,可访问,国务院新闻办,english.scio.gov.cn,官方/政府
110,France,2004-10,State visit to China,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
111,France,2005-12,Airbus A320 final assembly line MoU signed,https://www.airbus.com/en/newsroom/press-releases/2006-06-airbus-chinese-a320-final-assembly-line-to-be-located-in-tianjin,是,200,可访问,其他来源,airbus.com,待确认
112,France,2006-10,Mega deals on aviation railways and nuclear power signed,http://www.chinadaily.com.cn/china/2006-10/27/content_718145.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
113,France,2007-11,State visit to China,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
114,France,2008-04,Olympic torch relay disrupted in Paris,https://www.chinadaily.com.cn/china/2008-04/25/content_6642373.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
115,France,2008-12,Sarkozy meets Dalai Lama in Poland,http://www.china.org.cn/international/news/2008-07/09/content_15980743.htm,是,200,可访问,中国网,china.org.cn,官方媒体
116,France,2009-04,China-France joint communique restores ties,http://www.china.org.cn/international/2009-04/01/content_17538757.htm,是,200,可访问,中国网,china.org.cn,官方媒体
117,France,2014-03,Airbus cooperation agreements and aircraft orders,http://www.chinadaily.com.cn/business/2014-03/28/content_17386141_2.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
118,France,2014-03,State visit to France,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
119,France,2015-03,France applies to join AIIB as founding member,http://www.ecns.cn/business/2015/03-18/158420.shtml,是,200,可访问,中国新闻社,ecns.cn,官方媒体
120,France,2015-06,China-France joint statement on third-party market cooperation,https://en.ndrc.gov.cn/news/pressreleases/202202/t20220214_1315538.html,是,200,可访问,国家发改委,en.ndrc.gov.cn,官方/政府
121,France,2015-11,State visit to China,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
122,France,2018-01,State visit to China,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
123,France,2019-03,State visit to France,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
124,France,2019-11,State visit to China,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
125,France,2019-11,China issues 4 billion euro sovereign bonds in Paris,http://www.xinhuanet.com/english/2019-11/06/c_138534000.htm,是,200,可访问,新华社,xinhuanet.com,官方媒体
126,France,2020-07,French limits on Huawei 5G equipment,https://www.euractiv.com/news/french-limits-on-huawei-5g-equipment-amount-to-de-facto-ban-by-2028/,否,403,HTTP 403 禁止访问(可能需要特殊权限),Euractiv(欧盟新闻),euractiv.com,其他
127,France,2021-03,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2535_665405/202103/t20210322_9170814.html,是,200,重定向至: https://www.mfa.gov.cn/web/system/index_17321.shtml,中国外交部(旧域名),fmprc.gov.cn,官方/政府
128,France,2023-04,State visit to China,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
129,France,2024-05,State visit to France,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
130,France,2025-03,China-France joint statement on climate change,https://www.diplomatie.gouv.fr/en/country-files/china/news/2025/article/joint-statement-between-the-people-s-republic-of-china-and-the-french-republic,是,200,重定向至: https://www.diplomatie.gouv.fr/en/information-by-country,法国外交部,diplomatie.gouv.fr,官方/政府
131,France,2025-12,State visit to China,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/sbgx_679138/,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
132,Germany,2004-05,Partnership with Global Responsibility established,https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3296_664550/3298_664554/202406/t20240611_11420964.html,是,200,可访问,中国外交部(旧域名),fmprc.gov.cn,官方/政府
133,Germany,2004-12,Official visit to China,https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679086/sbgx_679090/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
