db,country,event_date,event_name,category_4,post_month,baseline,shock
GDELT,Australia,2022-11-01,Bilateral meeting on sidelines of G20 summit,Third-party meeting,12,-0.5344709965137573,-0.1899158649750582
GDELT,Australia,2023-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,0,-0.33231100731230145,-0.392075854176514
GDELT,Australia,2023-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,1,-0.33231100731230145,-0.12796452278189874
GDELT,Australia,2023-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,2,-0.33231100731230145,0.31681666602632425
GDELT,Australia,2023-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,3,-0.33231100731230145,-0.6217092299584147
GDELT,Australia,2023-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,6,-0.33231100731230145,-0.09068757132614064
GDELT,Australia,2023-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,12,-0.33231100731230145,0.31665092850241755
GDELT,Australia,2024-06-01,Official visit to Australia,Chinese outbound visit,0,-0.0693050690960938,-0.3670367682704177
GDELT,Australia,2024-06-01,Official visit to Australia,Chinese outbound visit,1,-0.0693050690960938,0.3281192872157016
GDELT,Australia,2024-06-01,Official visit to Australia,Chinese outbound visit,2,-0.0693050690960938,-0.04481258125299152
GDELT,Australia,2024-06-01,Official visit to Australia,Chinese outbound visit,3,-0.0693050690960938,-0.3393716764182347
GDELT,Australia,2024-06-01,Official visit to Australia,Chinese outbound visit,6,-0.0693050690960938,0.311989255159201
GDELT,Australia,2024-06-01,Official visit to Australia,Chinese outbound visit,12,-0.0693050690960938,-0.6057090919922404
GDELT,Australia,2024-11-01,Xi-Albanese bilateral meeting on sidelines of G20 summit,Third-party meeting,0,-0.24250779435340028,0.22684771554351635
GDELT,Australia,2024-11-01,Xi-Albanese bilateral meeting on sidelines of G20 summit,Third-party meeting,1,-0.24250779435340028,0.48519198041650746
GDELT,Australia,2024-11-01,Xi-Albanese bilateral meeting on sidelines of G20 summit,Third-party meeting,2,-0.24250779435340028,-0.09454129693811539
GDELT,Australia,2024-11-01,Xi-Albanese bilateral meeting on sidelines of G20 summit,Third-party meeting,3,-0.24250779435340028,-0.9445017847787075
GDELT,Australia,2024-11-01,Xi-Albanese bilateral meeting on sidelines of G20 summit,Third-party meeting,6,-0.24250779435340028,0.30257117812040824
GDELT,Australia,2024-11-01,Xi-Albanese bilateral meeting on sidelines of G20 summit,Third-party meeting,12,-0.24250779435340028,-0.17628672091787786
GDELT,Australia,2025-07-01,Albanese official visit to China,Partner inbound visit,0,-0.37119697330213747,0.5849500604175897
GDELT,Australia,2025-07-01,Albanese official visit to China,Partner inbound visit,1,-0.37119697330213747,-0.6368739419620644
GDELT,Australia,2025-07-01,Albanese official visit to China,Partner inbound visit,2,-0.37119697330213747,-0.3153475296736003
GDELT,Australia,2025-07-01,Albanese official visit to China,Partner inbound visit,3,-0.37119697330213747,0.05655084043513464
GDELT,Belgium,2002-03-01,Prime Minister Verhofstadt visits China,Partner inbound visit,0,2.143906119263433,-1.6598519673544447
GDELT,Belgium,2002-03-01,Prime Minister Verhofstadt visits China,Partner inbound visit,1,2.143906119263433,-2.0704846226379345
GDELT,Belgium,2002-03-01,Prime Minister Verhofstadt visits China,Partner inbound visit,2,2.143906119263433,-2.462891767923648
GDELT,Belgium,2002-03-01,Prime Minister Verhofstadt visits China,Partner inbound visit,3,2.143906119263433,-3.090290097093356
GDELT,Belgium,2002-03-01,Prime Minister Verhofstadt visits China,Partner inbound visit,6,2.143906119263433,-0.44630056020861875
GDELT,Belgium,2002-03-01,Prime Minister Verhofstadt visits China,Partner inbound visit,12,2.143906119263433,-4.7275113785069705
GDELT,Belgium,2004-11-01,Crown Prince Philippe visits China,Partner inbound visit,0,0.9506703392049107,0.5724055500573468
GDELT,Belgium,2004-11-01,Crown Prince Philippe visits China,Partner inbound visit,1,0.9506703392049107,1.4448097758997303
GDELT,Belgium,2004-11-01,Crown Prince Philippe visits China,Partner inbound visit,2,0.9506703392049107,-1.162383773315006
GDELT,Belgium,2004-11-01,Crown Prince Philippe visits China,Partner inbound visit,3,0.9506703392049107,-3.214527678246524
GDELT,Belgium,2004-11-01,Crown Prince Philippe visits China,Partner inbound visit,6,0.9506703392049107,-0.03152189358826518
GDELT,Belgium,2004-11-01,Crown Prince Philippe visits China,Partner inbound visit,12,0.9506703392049107,-3.3191241438155004
GDELT,Belgium,2007-06-01,Crown Prince Philippe visits China,Partner inbound visit,0,0.47392378381588085,-0.23181065838315662
GDELT,Belgium,2007-06-01,Crown Prince Philippe visits China,Partner inbound visit,1,0.47392378381588085,-0.4960530140898922
GDELT,Belgium,2007-06-01,Crown Prince Philippe visits China,Partner inbound visit,2,0.47392378381588085,-2.335329463140806
GDELT,Belgium,2007-06-01,Crown Prince Philippe visits China,Partner inbound visit,3,0.47392378381588085,-0.660436798274013
GDELT,Belgium,2007-06-01,Crown Prince Philippe visits China,Partner inbound visit,6,0.47392378381588085,-0.22752751325020576
GDELT,Belgium,2007-06-01,Crown Prince Philippe visits China,Partner inbound visit,12,0.47392378381588085,0.23575687198083906
GDELT,Belgium,2008-08-01,PM Leterme attends Beijing Olympics closing ceremony,Third-party meeting,0,0.6197090162299156,-0.8659661394502203
GDELT,Belgium,2008-08-01,PM Leterme attends Beijing Olympics closing ceremony,Third-party meeting,1,0.6197090162299156,0.8975667985317569
GDELT,Belgium,2008-08-01,PM Leterme attends Beijing Olympics closing ceremony,Third-party meeting,2,0.6197090162299156,-2.081990381318818
GDELT,Belgium,2008-08-01,PM Leterme attends Beijing Olympics closing ceremony,Third-party meeting,3,0.6197090162299156,-2.399416273375956
GDELT,Belgium,2008-08-01,PM Leterme attends Beijing Olympics closing ceremony,Third-party meeting,6,0.6197090162299156,-0.9045945019424981
GDELT,Belgium,2008-08-01,PM Leterme attends Beijing Olympics closing ceremony,Third-party meeting,12,0.6197090162299156,-2.7335391660621
GDELT,Belgium,2008-10-01,PM Leterme attends 7th ASEM Summit,Third-party meeting,0,0.6830167558392488,-2.1452981209281514
GDELT,Belgium,2008-10-01,PM Leterme attends 7th ASEM Summit,Third-party meeting,1,0.6830167558392488,-2.4627240129852894
GDELT,Belgium,2008-10-01,PM Leterme attends 7th ASEM Summit,Third-party meeting,2,0.6830167558392488,-0.8799182274931574
GDELT,Belgium,2008-10-01,PM Leterme attends 7th ASEM Summit,Third-party meeting,3,0.6830167558392488,-1.3462722625279155
GDELT,Belgium,2008-10-01,PM Leterme attends 7th ASEM Summit,Third-party meeting,6,0.6830167558392488,-0.29957567425768367
GDELT,Belgium,2008-10-01,PM Leterme attends 7th ASEM Summit,Third-party meeting,12,0.6830167558392488,-0.9303010169790702
GDELT,Belgium,2010-05-01,PM Leterme visits Shanghai World Expo,Partner inbound visit,0,0.9513322675317087,-0.02928128332771296
GDELT,Belgium,2010-05-01,PM Leterme visits Shanghai World Expo,Partner inbound visit,1,0.9513322675317087,0.23651609004528884
GDELT,Belgium,2010-05-01,PM Leterme visits Shanghai World Expo,Partner inbound visit,2,0.9513322675317087,-1.4945913634197439
GDELT,Belgium,2010-05-01,PM Leterme visits Shanghai World Expo,Partner inbound visit,3,0.9513322675317087,-1.2581852505692628
GDELT,Belgium,2010-05-01,PM Leterme visits Shanghai World Expo,Partner inbound visit,6,0.9513322675317087,-0.6796259981667376
GDELT,Belgium,2010-05-01,PM Leterme visits Shanghai World Expo,Partner inbound visit,12,0.9513322675317087,-0.8298609899206991
GDELT,Belgium,2010-06-01,Crown Prince Philippe visits China,Partner inbound visit,0,0.8869683041230301,0.3008800534539675
GDELT,Belgium,2010-06-01,Crown Prince Philippe visits China,Partner inbound visit,1,0.8869683041230301,-1.430227400011065
GDELT,Belgium,2010-06-01,Crown Prince Philippe visits China,Partner inbound visit,2,0.8869683041230301,-1.1938212871605842
GDELT,Belgium,2010-06-01,Crown Prince Philippe visits China,Partner inbound visit,3,0.8869683041230301,-0.4116480272205807
GDELT,Belgium,2010-06-01,Crown Prince Philippe visits China,Partner inbound visit,6,0.8869683041230301,-2.3248664810646873
GDELT,Belgium,2010-06-01,Crown Prince Philippe visits China,Partner inbound visit,12,0.8869683041230301,-1.8427542026499286
GDELT,Belgium,2011-10-01,Crown Prince Philippe visits China,Partner inbound visit,0,0.1330882182737437,0.3939879895011039
GDELT,Belgium,2011-10-01,Crown Prince Philippe visits China,Partner inbound visit,1,0.1330882182737437,0.7983590416255525
GDELT,Belgium,2011-10-01,Crown Prince Philippe visits China,Partner inbound visit,2,0.1330882182737437,-0.1253447799866892
GDELT,Belgium,2011-10-01,Crown Prince Philippe visits China,Partner inbound visit,3,0.1330882182737437,-0.40164272830322056
GDELT,Belgium,2011-10-01,Crown Prince Philippe visits China,Partner inbound visit,6,0.1330882182737437,-0.008419676610525784
GDELT,Belgium,2011-10-01,Crown Prince Philippe visits China,Partner inbound visit,12,0.1330882182737437,-0.9908391395037824
GDELT,Belgium,2013-09-01,PM Di Rupo attends Summer Davos in Dalian,Partner inbound visit,0,-0.20374948870781665,0.02070778465609638
GDELT,Belgium,2013-09-01,PM Di Rupo attends Summer Davos in Dalian,Partner inbound visit,1,-0.20374948870781665,0.7906118678550359
GDELT,Belgium,2013-09-01,PM Di Rupo attends Summer Davos in Dalian,Partner inbound visit,2,-0.20374948870781665,0.30936477179746985
GDELT,Belgium,2013-09-01,PM Di Rupo attends Summer Davos in Dalian,Partner inbound visit,3,-0.20374948870781665,1.3151059312210327
GDELT,Belgium,2013-09-01,PM Di Rupo attends Summer Davos in Dalian,Partner inbound visit,6,-0.20374948870781665,1.0163061171279753
GDELT,Belgium,2013-09-01,PM Di Rupo attends Summer Davos in Dalian,Partner inbound visit,12,-0.20374948870781665,1.0390103185837192
GDELT,Belgium,2014-03-01,President Xi Jinping pays state visit to Belgium,Chinese outbound visit,0,0.6707750791362159,0.1417815492839426
GDELT,Belgium,2014-03-01,President Xi Jinping pays state visit to Belgium,Chinese outbound visit,1,0.6707750791362159,1.8871110885526814
GDELT,Belgium,2014-03-01,President Xi Jinping pays state visit to Belgium,Chinese outbound visit,2,0.6707750791362159,-1.2730029782690173
GDELT,Belgium,2014-03-01,President Xi Jinping pays state visit to Belgium,Chinese outbound visit,3,0.6707750791362159,-1.566156374429297
GDELT,Belgium,2014-03-01,President Xi Jinping pays state visit to Belgium,Chinese outbound visit,6,0.6707750791362159,0.16448575073968663
GDELT,Belgium,2014-03-01,President Xi Jinping pays state visit to Belgium,Chinese outbound visit,12,0.6707750791362159,0.5070400333044871
GDELT,Belgium,2015-06-01,King Philippe pays state visit to China,Partner inbound visit,0,0.5750560464187994,0.4608801452858454
GDELT,Belgium,2015-06-01,King Philippe pays state visit to China,Partner inbound visit,1,0.5750560464187994,0.5097451243572279
GDELT,Belgium,2015-06-01,King Philippe pays state visit to China,Partner inbound visit,2,0.5750560464187994,-0.3738542815723769
GDELT,Belgium,2015-06-01,King Philippe pays state visit to China,Partner inbound visit,3,0.5750560464187994,-0.7858900707587966
GDELT,Belgium,2015-06-01,King Philippe pays state visit to China,Partner inbound visit,6,0.5750560464187994,-1.0763040897919618
GDELT,Belgium,2015-06-01,King Philippe pays state visit to China,Partner inbound visit,12,0.5750560464187994,-0.4454205489146955
GDELT,Belgium,2016-10-01,PM Michel visits China,Partner inbound visit,0,-0.03067680102843467,0.02371622626478436
GDELT,Belgium,2016-10-01,PM Michel visits China,Partner inbound visit,1,-0.03067680102843467,1.1670440355097564
GDELT,Belgium,2016-10-01,PM Michel visits China,Partner inbound visit,2,-0.03067680102843467,0.3923851005976273
GDELT,Belgium,2016-10-01,PM Michel visits China,Partner inbound visit,3,-0.03067680102843467,0.4999388479625671
GDELT,Belgium,2016-10-01,PM Michel visits China,Partner inbound visit,6,-0.03067680102843467,0.9749300604532458
GDELT,Belgium,2016-10-01,PM Michel visits China,Partner inbound visit,12,-0.03067680102843467,0.46611361600189494
GDELT,Belgium,2017-06-01,Premier Li Keqiang visits Belgium,Chinese outbound visit,0,0.3059587861520157,0.43161128761193784
GDELT,Belgium,2017-06-01,Premier Li Keqiang visits Belgium,Chinese outbound visit,1,0.3059587861520157,-0.945819867614649
GDELT,Belgium,2017-06-01,Premier Li Keqiang visits Belgium,Chinese outbound visit,2,0.3059587861520157,-1.2797712796882361
GDELT,Belgium,2017-06-01,Premier Li Keqiang visits Belgium,Chinese outbound visit,3,0.3059587861520157,-0.23726792658184087
GDELT,Belgium,2017-06-01,Premier Li Keqiang visits Belgium,Chinese outbound visit,6,0.3059587861520157,-0.33182905590321465
GDELT,Belgium,2017-06-01,Premier Li Keqiang visits Belgium,Chinese outbound visit,12,0.3059587861520157,-0.30825609212629745
GDELT,Belgium,2018-10-01,Premier Li Keqiang pays working visit to Belgium,Chinese outbound visit,0,-0.6148721251567862,0.3340677682460849
GDELT,Belgium,2018-10-01,Premier Li Keqiang pays working visit to Belgium,Chinese outbound visit,1,-0.6148721251567862,0.08216361125523741
GDELT,Belgium,2018-10-01,Premier Li Keqiang pays working visit to Belgium,Chinese outbound visit,2,-0.6148721251567862,-0.07946722637219972
GDELT,Belgium,2018-10-01,Premier Li Keqiang pays working visit to Belgium,Chinese outbound visit,3,-0.6148721251567862,-1.328604440601202
GDELT,Belgium,2018-10-01,Premier Li Keqiang pays working visit to Belgium,Chinese outbound visit,6,-0.6148721251567862,1.055948965889642
GDELT,Belgium,2018-10-01,Premier Li Keqiang pays working visit to Belgium,Chinese outbound visit,12,-0.6148721251567862,-0.7509659658232802
GDELT,Belgium,2019-11-01,Princess Astrid leads economic mission to China,Partner inbound visit,0,-0.5924312786541909,0.7944502422169366
GDELT,Belgium,2019-11-01,Princess Astrid leads economic mission to China,Partner inbound visit,1,-0.5924312786541909,0.07873754903930796
GDELT,Belgium,2019-11-01,Princess Astrid leads economic mission to China,Partner inbound visit,2,-0.5924312786541909,-0.24308413378217686
GDELT,Belgium,2019-11-01,Princess Astrid leads economic mission to China,Partner inbound visit,3,-0.5924312786541909,0.35781608290476136
GDELT,Belgium,2019-11-01,Princess Astrid leads economic mission to China,Partner inbound visit,6,-0.5924312786541909,0.035695152168417454
GDELT,Belgium,2019-11-01,Princess Astrid leads economic mission to China,Partner inbound visit,12,-0.5924312786541909,0.7578611369077529
GDELT,Belgium,2021-12-01,Li Keqiang holds video meeting with PM De Croo,Remote talk,0,0.02401601309039229,-0.4090538338902261
GDELT,Belgium,2021-12-01,Li Keqiang holds video meeting with PM De Croo,Remote talk,1,0.02401601309039229,-1.236483742167896
GDELT,Belgium,2021-12-01,Li Keqiang holds video meeting with PM De Croo,Remote talk,2,0.02401601309039229,0.284585290013706
GDELT,Belgium,2021-12-01,Li Keqiang holds video meeting with PM De Croo,Remote talk,3,0.02401601309039229,-0.5336422567424733
GDELT,Belgium,2021-12-01,Li Keqiang holds video meeting with PM De Croo,Remote talk,6,0.02401601309039229,-1.8909752494153547
GDELT,Belgium,2021-12-01,Li Keqiang holds video meeting with PM De Croo,Remote talk,12,0.02401601309039229,0.16473795569707633
GDELT,Belgium,2023-02-01,PM De Croo meets Wang Yi at Munich Security Conference,Third-party meeting,0,0.19892321799073687,-1.1244132570120593
GDELT,Belgium,2023-02-01,PM De Croo meets Wang Yi at Munich Security Conference,Third-party meeting,1,0.19892321799073687,-1.5153479701347559
GDELT,Belgium,2023-02-01,PM De Croo meets Wang Yi at Munich Security Conference,Third-party meeting,2,0.19892321799073687,0.05585316436628357
GDELT,Belgium,2023-02-01,PM De Croo meets Wang Yi at Munich Security Conference,Third-party meeting,3,0.19892321799073687,-0.5355418279057949
GDELT,Belgium,2023-02-01,PM De Croo meets Wang Yi at Munich Security Conference,Third-party meeting,6,0.19892321799073687,-0.5985829867118285
GDELT,Belgium,2023-02-01,PM De Croo meets Wang Yi at Munich Security Conference,Third-party meeting,12,0.19892321799073687,-0.9150374623427471
GDELT,Belgium,2024-01-01,PM De Croo pays official visit to China,Partner inbound visit,0,-0.46889498555102993,1.0030924911731496
GDELT,Belgium,2024-01-01,PM De Croo pays official visit to China,Partner inbound visit,1,-0.46889498555102993,-0.24721925880098028
GDELT,Belgium,2024-01-01,PM De Croo pays official visit to China,Partner inbound visit,2,-0.46889498555102993,1.0786842868331608
GDELT,Belgium,2024-01-01,PM De Croo pays official visit to China,Partner inbound visit,3,-0.46889498555102993,-0.2993651443489025
GDELT,Belgium,2024-01-01,PM De Croo pays official visit to China,Partner inbound visit,6,-0.46889498555102993,0.03334776551029134
GDELT,Belgium,2024-01-01,PM De Croo pays official visit to China,Partner inbound visit,12,-0.46889498555102993,-0.13295823708680277
GDELT,Belgium,2024-06-01,Vice Premier Ding Xuexiang meets PM De Croo in Brussels,Third-party meeting,0,-0.4453193743474639,-0.12831946811496991
GDELT,Belgium,2024-06-01,Vice Premier Ding Xuexiang meets PM De Croo in Brussels,Third-party meeting,1,-0.4453193743474639,0.00977215430672529
GDELT,Belgium,2024-06-01,Vice Premier Ding Xuexiang meets PM De Croo in Brussels,Third-party meeting,2,-0.4453193743474639,0.7048165733028076
GDELT,Belgium,2024-06-01,Vice Premier Ding Xuexiang meets PM De Croo in Brussels,Third-party meeting,3,-0.4453193743474639,0.1112074674639087
GDELT,Belgium,2024-06-01,Vice Premier Ding Xuexiang meets PM De Croo in Brussels,Third-party meeting,6,-0.4453193743474639,0.10312615083456056
