db,spec,trade,0,1,2,3,4,5,6
ICEWS,IW-Import,Trade_Exports,"0.007**
(0.003)","0.004
(0.004)","0.006**
(0.003)","0.000
(0.003)","0.001
(0.003)","0.002
(0.003)","0.003
(0.004)"
ICEWS,IW-Import,Trade_Imports,"0.002
(0.006)","0.003
(0.006)","0.003
(0.005)","0.004
(0.005)","0.004
(0.006)","0.003
(0.007)","0.002
(0.006)"
ICEWS,IW-Import,Trade_Total,"0.004
(0.004)","0.002
(0.004)","0.004
(0.003)","0.001
(0.003)","0.002
(0.003)","0.002
(0.005)","0.002
(0.005)"
ICEWS,IW-Total,Trade_Exports,"0.007
(0.005)","0.003
(0.004)","0.004
(0.003)","0.001
(0.004)","-0.000
(0.004)","0.000
(0.005)","0.002
(0.005)"
ICEWS,IW-Total,Trade_Imports,"-0.000
(0.006)","-0.001
(0.006)","0.001
(0.006)","-0.000
(0.006)","-0.002
(0.008)","-0.002
(0.008)","-0.000
(0.007)"
ICEWS,IW-Total,Trade_Total,"0.002
(0.005)","0.000
(0.004)","0.002
(0.003)","-0.001
(0.004)","-0.002
(0.004)","-0.002
(0.005)","0.000
(0.005)"
Phoenix,PH-Export,Trade_Exports,"-0.001
(0.003)","-0.005
(0.003)","-0.003
(0.003)","-0.001
(0.003)","-0.001
(0.003)","-0.001
(0.003)","0.000
(0.003)"
Phoenix,PH-Export,Trade_Imports,"0.009**
(0.005)","0.004
(0.003)","0.009**
(0.004)","0.007**
(0.003)","0.007*
(0.004)","0.007**
(0.003)","0.007*
(0.004)"
Phoenix,PH-Export,Trade_Total,"0.004
(0.003)","-0.001
(0.002)","0.002
(0.003)","0.002
(0.002)","0.003
(0.002)","0.002
(0.002)","0.003
(0.003)"
Phoenix,PH-Import,Trade_Exports,"-0.001
(0.002)","-0.003
(0.003)","-0.005*
(0.003)","-0.002
(0.003)","-0.003*
(0.002)","-0.003
(0.002)","-0.006**
(0.003)"
Phoenix,PH-Import,Trade_Imports,"0.002
(0.003)","0.006**
(0.002)","0.007**
(0.003)","0.009***
(0.003)","0.010***
(0.003)","0.011**
(0.005)","0.004
(0.005)"
Phoenix,PH-Import,Trade_Total,"-0.000
(0.002)","0.001
(0.002)","0.001
(0.002)","0.003
(0.002)","0.002
(0.002)","0.003
(0.003)","-0.003
(0.003)"
Phoenix,PH-Total,Trade_Exports,"-0.005*
(0.003)","-0.005*
(0.003)","-0.004
(0.003)","-0.002
(0.003)","-0.002
(0.002)","-0.002
(0.003)","-0.004
(0.003)"
Phoenix,PH-Total,Trade_Imports,"0.005
(0.004)","0.005**
(0.002)","0.008***
(0.003)","0.008***
(0.002)","0.009***
(0.003)","0.008***
(0.003)","0.004
(0.004)"
Phoenix,PH-Total,Trade_Total,"-0.001
(0.002)","-0.001
(0.002)","0.002
(0.002)","0.002
(0.002)","0.003
(0.002)","0.002
(0.002)","-0.001
(0.003)"
Tsinghua,TS-Export,Trade_Exports,"-0.009**
(0.005)","-0.012**
(0.006)","-0.013**
(0.005)","-0.010*
(0.005)","-0.011**
(0.005)","-0.012**
(0.005)","-0.011***
(0.004)"
Tsinghua,TS-Export,Trade_Imports,"-0.002
(0.008)","0.001
(0.007)","0.003
(0.007)","0.005
(0.008)","0.006
(0.006)","0.006
(0.005)","0.004
(0.006)"
Tsinghua,TS-Export,Trade_Total,"-0.005
(0.005)","-0.006
(0.006)","-0.005
(0.006)","-0.004
(0.006)","-0.004
(0.005)","-0.004
(0.004)","-0.005
(0.004)"
Tsinghua,TS-Import,Trade_Exports,"-0.009**
(0.005)","-0.012**
(0.006)","-0.013**
(0.005)","-0.010*
(0.005)","-0.011**
(0.005)","-0.012**
(0.005)","-0.011***
(0.004)"
Tsinghua,TS-Import,Trade_Imports,"-0.002
(0.008)","0.001
(0.007)","0.003
(0.007)","0.005
(0.008)","0.006
(0.006)","0.006
(0.005)","0.004
(0.006)"
Tsinghua,TS-Import,Trade_Total,"-0.005
(0.005)","-0.006
(0.006)","-0.005
(0.006)","-0.004
(0.006)","-0.004
(0.005)","-0.004
(0.004)","-0.005
(0.004)"
Tsinghua,TS-Total,Trade_Exports,"-0.009**
(0.005)","-0.012**
(0.006)","-0.013**
(0.005)","-0.010*
(0.005)","-0.011**
(0.005)","-0.012**
(0.005)","-0.011***
(0.004)"
Tsinghua,TS-Total,Trade_Imports,"-0.002
(0.008)","0.001
(0.007)","0.003
(0.007)","0.005
(0.008)","0.006
(0.006)","0.006
(0.005)","0.004
(0.006)"
Tsinghua,TS-Total,Trade_Total,"-0.005
(0.005)","-0.006
(0.006)","-0.005
(0.006)","-0.004
(0.006)","-0.004
(0.005)","-0.004
(0.004)","-0.005
(0.004)"
